UnitID,Institution Name,Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),
436775,Toni & Guy Hairdressing Academy-Plano,70,
494719,Tonsorial Arts Barber College,0,
483735,Total Transformation Institute of Cosmetology,88,
443298,Trend Barber College,100,
450711,Trend Barber College,95,
402800,Tri-State Cosmetology Institute,92,
229267,Trinity University,99,
225308,Trinity Valley Community College,82,
486798,Tulsa Welding School-Houston,91,
229355,Tyler Junior College,76,
475662,UCAS Univeristy of Cosmetology Arts & Sciences-La Joya,100,
229425,UCAS University of Cosemtology Arts & Sciences-McAllen,87,
377193,UCAS University of Cosmetology Arts & Sciences,,
407683,UCAS University of Cosmetology Arts & Sciences-Harlingen,100,
246415,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,100,
229416,Universal Technical Institute of Texas Inc.,96,
460543,Universal Technical Institute-Dallas Fort Worth,94,
224323,University of Dallas,99,
225511,University of Houston,87,
225414,University of Houston-Clear Lake,64,
225432,University of Houston-Downtown,83,
229407,University of Houston-System Administration,,
225502,University of Houston-Victoria,94,
226471,University of Mary Hardin-Baylor,95,
227216,University of North Texas,82,
484905,University of North Texas at Dallas,96,
228909,University of North Texas Health Science Center,,
443711,University of North Texas System,,
484756,University of Phoenix-Texas,50,
227863,University of St Thomas,96,
485537,University of Texas Health Science Center at Tyler,,
228635,University of Texas Southwestern Medical Center,,
225627,University of the Incarnate Word,99,
443322,Valley Grande Institute for Academic Studies,76,
229504,Vernon College,88,
223472,Vet Tech Institute of Houston,90,
229522,Victoria Beauty College Inc,100,
229540,Victoria College,79,
365204,Vista College,27,
377342,Vista College-Online,85,
476559,Vogue College of Cosmetology,100,
229656,Vogue College of Cosmetology-McAllen,92,
476540,Vogue College of Cosmetology-San Antonio Fredericksburg,88,
491871,Vogue International Academy,0,
226879,Wade College,93,
476896,Wade Gordon Hairdressing Academy,94,
492591,Wade Gordon Hairdressing Academy,85,
487065,Wade Gordon Hairdressing Academy-Lubbock,80,
229780,Wayland Baptist University,94,
229799,Weatherford College,72,
477039,West Coast University-Dallas,100,
229814,West Texas A & M University,90,
224660,Western Technical College,91,
224679,Western Technical College,84,
229832,Western Texas College,47,
229841,Wharton County Junior College,55,
229887,Wiley College,100,
226860,William Edge Institute,66,
484136,Yahweh Beauty Academy,83,
