UnitID,Institution Name,Revised bachelor's degree-seeking cohort  (cohort year 2010) (GR200_18_RV),Revised bachelor's degree-seeking cohort  (cohort year 2009) (GR200_17_RV),Revised bachelor's degree-seeking cohort  (cohort year 2008) (GR200_16_RV),Revised bachelor's degree-seeking cohort  (cohort year 2007) (GR200_15_RV),Revised bachelor's degree-seeking cohort  (cohort year 2006) (GR200_14_RV),Revised bachelor's degree-seeking cohort  (cohort year 2005) (GR200_13_RV),Revised bachelor's degree-seeking cohort  (cohort year 2004) (GR200_12_RV),Revised bachelor's degree-seeking cohort  (cohort year 2003) (GR200_11_RV),Revised bachelor's degree-seeking cohort  (cohort year 2002) (GR200_10_RV),Revised bachelor's degree-seeking cohort  (cohort year 2001) (GR200_09_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1819),
207254,Spartan College of Aeronautics and Technology,,,11,7,25,25,57,44,22,18,53,
488828,Totally Cosmo School of Modern Cosmetology,,,,,,,,,,,74,
207935,Tulsa Community College,,,,,,,,,,,65,
488934,Tulsa Technology Center,,,,,,,,,,,24,
207962,Tulsa Welding School-Tulsa,,,,,,,,,,,87,
206941,University of Central Oklahoma,1661,1583,1648,1791,1908,1856,1876,1796,1630,1619,66,
207342,University of Oklahoma-Health Sciences Center,,,,,,,,,,,40,
207500,University of Oklahoma-Norman Campus,3673,3703,3752,3828,3290,3189,3537,3729,3749,3629,71,
207722,University of Science and Arts of Oklahoma,199,166,203,190,208,233,244,285,280,246,88,
207971,University of Tulsa,662,688,692,653,656,625,677,587,546,489,93,
208017,Virgil's Beauty College,,,,,,,,,,,,
418357,Wes Watkins Technology Center,,,,,,,,,,,91,
208035,Western Oklahoma State College,,,,,,,,,,,82,
418302,Western Technology Center,,,,,,,,,,,21,
413820,Yukon Beauty College Inc,,,,,,,,,,,50,
