State,UnitID,InstitutionName,Control,TotalEnrollment,SFA1819,SFA1718_RV,SFA1617_RV,SFA1516_RV,SFA1415_RV,SFA1314_RV,SFA1213_RV,SFA1112_RV,SFA1011_RV,SFA0910_RV,EFIA2019,EFIA2018_RV,EFIA2017_RV,EFIA2016_RV,EFIA2015_RV,EFIA2014_RV,EFIA2013_RV,EFIA2012_RV,EFIA2011_RV,EFIA2010_RV,IC2019_AY,IC2018_AY,IC2017_AY,IC2016_AY,IC2015_AY,IC2014_AY,IC2013_AY,IC2012_AY,IC2011_AY_RV,IC2010_AY_RV,IC2009_AY_RV,PercentUndergradAid
OK,432074,Northeast Technology Center-Kansas,1,210,3752,3341,3162,3906,4127,4007,1614,2843,2831,2347,210,222,217,155,176,190,169,181,180,206,,,,,,,,,,,,18
OK,418339,Northeast Technology Center-Pryor,1,293,3281,2550,2545,2528,1584,707,2566,3055,2483,882,293,334,348,340,320,286,289,294,265,380,,,,,,,,,,,,7
OK,461087,Northeast Technology Center-System Office,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,207290,Northeastern Oklahoma A&M College,1,1616,6752,6375,6272,6560,6022,6151,5385,6411,6571,6710,1616,1719,1763,1760,1846,1979,2075,2162,2023,1852,4913,4758,4448,4178,3832,3772,3525,3194,3040,2778,2640,86
OK,207263,Northeastern State University,1,5426,7109,6962,6845,6718,6593,6537,6682,5292,5705,5808,5426,5482,5575,5694,5777,6016,6192,6572,6991,6763,6915,6650,6327,6207,5547,5285,4992,4857,4602,4385,4155,69
OK,207281,Northern Oklahoma College,1,2515,3205,3386,3484,3347,3268,3324,3487,3184,3244,2768,2515,2635,2889,3044,3079,3213,3414,3501,3793,3611,3480,4170,3865,3675,3454,3219,3019,2845,2670,2526,2303,49
OK,366623,Northwest Technology Center-Alva,1,204,2401,2481,3021,2436,3371,3549,3439,4263,2842,2643,204,115,113,127,144,95,92,76,58,29,,,,,,,,,,,,12
OK,407601,Northwest Technology Center-Fairview,1,,,1999,4491,2566,3227,3480,3590,4502,3508,3300,,79,75,87,85,85,87,58,45,24,,,,,,,,,,,,
OK,207306,Northwestern Oklahoma State University,1,1562,5460,4625,4486,4642,4428,4117,4816,4814,4543,3994,1562,1471,1559,1550,1701,1662,1696,1685,1592,1746,8018,7471,7066,6690,6112,5843,5642,5347,4968,4479,4247,87
OK,207403,Oklahoma Baptist University,2,1777,20719,19632,19393,17834,6248,12678,11659,18802,13028,14084,1777,1864,1853,1819,1794,1908,1781,1638,1575,1476,30044,28258,26840,25310,24000,22800,21842,20796,19756,18608,17562,95
