State,UnitID,InstitutionName,Control,TotalEnrollment,SFA1819,SFA1718_RV,SFA1617_RV,SFA1516_RV,SFA1415_RV,SFA1314_RV,SFA1213_RV,SFA1112_RV,SFA1011_RV,SFA0910_RV,IC2018_AY,IC2017_AY,IC2016_AY,IC2015_AY,IC2014_AY,IC2013_AY,IC2012_AY,IC2011_AY_RV,IC2010_AY_RV,IC2009_AY_RV,PercentUndergradAid
OK,418348,Eastern Oklahoma County Technology Center,1,297,3081,2301,2154,1722,1742,1921,1775,1651,2061,1798,,,,,,,,,,,11
OK,207050,Eastern Oklahoma State College,1,1030,4784,5198,3701,5360,5094,3414,2939,2891,2400,2394,4572,4572,4224,3947,3766,3528,3200,3200,3006,2856,81
OK,207087,Enid Beauty College,3,45,6591,5345,5509,5072,4333,4716,5486,5469,5076,5375,,,,,,,,,,,69
OK,207102,Eves College of Hairstyling,3,151,4923,4159,4053,3346,4780,3462,4179,4227,4186,3661,,,,,,,,,,,74
OK,443058,Family of Faith Christian University,2,10,4020,4567,4672,5299,6673,7118,9388,7102,6748,5374,6570,6570,6220,6070,6120,5970,5610,5460,5310,5110,80
OK,208044,Formations Institute of Cosmetology & Barbering,3,22,6055,2616,4507,4595,3368,3532,3958,6687,4782,4760,,,,,,,,,,,74
OK,245999,Francis Tuttle Technology Center,1,2585,2721,2742,2910,2781,3259,3033,2928,2921,2902,2769,,,,,,,,,,,28
OK,375683,Gordon Cooper Technology Center,1,697,4475,4660,3786,4053,4084,3496,4076,3617,4071,5121,,,,,,,,,,,24
OK,364548,Great Plains Technology Center,1,242,2669,4461,3816,2911,2532,2703,2564,2924,3093,1934,,,,,,,,,,,79
OK,428019,Green Country Technology Center,1,237,4085,3929,3704,3470,4373,4774,4308,4289,4890,4222,,,,,,,,,,,17
OK,208053,High Plains Technology Center,1,232,4149,4107,3291,3783,2665,3525,3422,3619,4642,3459,,,,,,,,,,,19
OK,418296,Indian Capital Technology Center-Muskogee,1,1291,5284,5261,4621,4411,4469,4431,3084,3719,4499,4166,,,,,,,,,,,23
OK,483276,JB's Hair Design and Barber College,3,47,4726,4591,4233,4037,4439,4775,,,,,,,,,,,,,,,89
OK,207704,Jenks Beauty College,3,121,4201,3137,4238,3779,4710,4250,3592,3452,3845,3834,,,,,,,,,,,76
OK,375726,Kiamichi Technology Center-McAlester,1,1782,5305,3449,4068,2435,3867,2258,3283,3825,3900,3555,,,,,,,,,,,16
OK,207209,Langston University,1,1884,8224,7057,6934,5183,5326,5525,6501,6055,6054,5499,6226,5936,5734,5042,4603,3815,4255,4112,3974,3827,82
OK,365480,Meridian Technology Center,1,641,4404,4360,2972,2653,3276,3327,3305,3713,4992,3682,,,,,,,,,,,13
OK,363165,Metro Technology Centers,1,745,5282,4625,3772,3729,3689,3576,3642,3286,3791,3742,,,,,,,,,,,15
OK,245953,Mid-America Christian University,2,1132,7767,7399,5987,6493,6346,6656,5276,2586,12088,13335,19604,17830,17132,16798,16230,15688,15092,14830,14080,13430,72
OK,418320,Mid-America Technology Center,1,612,4189,2951,3874,2685,2066,2336,2863,2928,3442,2948,,,,,,,,,,,5
OK,431017,Mid-Del Technology Center,1,408,3172,3658,3058,2859,2501,3441,2710,2276,2557,2257,,,,,,,,,,,27
OK,248606,Moore Norman Technology Center,1,957,4966,4638,2259,3507,3153,2774,2381,2369,3011,2325,,,,,,,,,,,5
OK,207236,Murray State College,1,1439,4629,5577,5245,5116,4530,6689,7105,4071,4380,7321,6010,5050,4638,4340,4148,4134,4036,3200,2990,2840,64
OK,466152,National American University-Tulsa,3,36,3535,3473,3306,3359,2424,2682,2776,2808,4222,,15000,15000,13755,13395,13071,12315,11919,12792,,,91
OK,420459,Northeast Technology Center-Afton,1,392,3809,3558,3764,3626,2614,3690,3584,3077,3647,6331,,,,,,,,,,,10
OK,456560,Northeast Technology Center-Claremore,1,177,2346,2938,2350,2191,3501,4173,2277,1671,2027,4604,,,,,,,,,,,9
OK,432074,Northeast Technology Center-Kansas,1,210,3752,3341,3162,3906,4127,4007,1614,2843,2831,2347,,,,,,,,,,,18
OK,418339,Northeast Technology Center-Pryor,1,293,3281,2550,2545,2528,1584,707,2566,3055,2483,882,,,,,,,,,,,7
OK,461087,Northeast Technology Center-System Office,1,,,,,,,,,,,,,,,,,,,,,,
OK,207290,Northeastern Oklahoma A&M College,1,1616,6752,6375,6272,6560,6022,6151,5385,6411,6571,6710,4758,4448,4178,3832,3772,3525,3194,3040,2778,2640,86
OK,207263,Northeastern State University,1,5426,7109,6962,6845,6718,6593,6537,6682,5292,5705,5808,6650,6327,6207,5547,5285,4992,4857,4602,4385,4155,69
OK,207281,Northern Oklahoma College,1,2515,3205,3386,3484,3347,3268,3324,3487,3184,3244,2768,4170,3865,3675,3454,3219,3019,2845,2670,2526,2303,49
OK,366623,Northwest Technology Center-Alva,1,204,2401,2481,3021,2436,3371,3549,3439,4263,2842,2643,,,,,,,,,,,12
OK,407601,Northwest Technology Center-Fairview,1,,,1999,4491,2566,3227,3480,3590,4502,3508,3300,,,,,,,,,,,
OK,207306,Northwestern Oklahoma State University,1,1562,5460,4625,4486,4642,4428,4117,4816,4814,4543,3994,7471,7066,6690,6112,5843,5642,5347,4968,4479,4247,87
OK,207403,Oklahoma Baptist University,2,1777,20719,19632,19393,17834,6248,12678,11659,18802,13028,14084,28258,26840,25310,24000,22800,21842,20796,19756,18608,17562,95
OK,207324,Oklahoma Christian University,2,1800,14712,14186,13334,12908,12545,11945,12041,15443,10622,10196,22760,21670,20840,19890,19120,18800,18800,18456,17456,16366,94
OK,207449,Oklahoma City Community College,1,7407,2406,3436,3057,4039,4052,4428,2184,4398,4435,4247,4059,3909,3727,3391,3241,3091,2974,2850,2659,2521,73
OK,207458,Oklahoma City University,2,1719,19070,18724,17506,17574,17783,14285,14495,15541,15515,15848,31026,30726,30726,30726,30726,29426,27500,27500,25760,23950,91
OK,207351,Oklahoma Panhandle State University,1,1064,4946,5021,4114,4606,4544,4596,4465,6407,4408,3702,7930,6196,7294,7461,7137,6739,6390,5704,4894,4241,44
OK,207315,Oklahoma State University Center for Health Sciences,1,,,,,,,,,,,,,,,,,,,,,,
OK,207564,Oklahoma State University Institute of Technology,1,2338,5256,5722,4906,3336,8932,9789,5185,2692,4987,2746,5550,5250,5100,4860,4605,4395,4215,4050,3795,3705,84
OK,207388,Oklahoma State University-Main Campus,1,18975,9444,9190,8761,8143,7874,7589,7417,7115,7172,6784,9019,8738,8321,7778,7442,7442,7442,7107,6779,6202,74
OK,207397,Oklahoma State University-Oklahoma City,1,3451,3789,1945,3261,2842,6077,8033,6582,6336,3139,7590,4498,3836,3634,2859,2859,2661,2661,2559,2419,2336,48
OK,469629,Oklahoma Technical College,2,238,7279,8312,6713,5200,6064,4910,4838,5150,5138,,,,,,,,,,,,76
OK,206835,Oklahoma Wesleyan University,2,813,11654,11650,11133,10594,8578,9657,8469,8772,9058,7849,27136,26090,25070,24108,23180,22252,21140,20160,19200,17970,96
OK,207582,Oral Roberts University,2,3170,17344,16118,15592,14388,14470,13610,13234,12482,11793,11467,27728,26792,25676,24792,23410,22508,21576,20756,20054,19106,82
OK,483665,Paul Mitchell the School-Ardmore,3,35,5138,5280,6173,5453,3965,3403,,,,,,,,,,,,,,,64
OK,486567,Paul Mitchell the School-Tulsa,3,212,4828,4210,4068,4042,3873,,,,,,,,,,,,,,,,56
OK,414966,Phillips Theological Seminary,2,,,,,,,,,,,,,,,,,,,,,,
OK,364627,Pioneer Technology Center,1,289,2319,3164,3490,3848,4154,4254,3589,2514,3173,2731,,,,,,,,,,,33
OK,245962,Platt College,3,238,4306,4217,5471,5736,4965,3775,5990,4164,9738,5162,,,,,,,,,,,75
OK,428143,Platt College-Lawton,3,174,4694,4312,5738,5346,5359,3211,6534,5531,4163,5012,,,,,,,,,,,64
OK,447379,Platt College-Moore,3,331,4760,4175,5772,5557,5123,3539,6305,5563,3544,5583,,,,,,,,,,,70
OK,445258,Platt College-OKC-Memorial,3,266,4108,4181,5534,5955,10888,4138,5970,11580,3768,5974,,,,,,,,,,,73
OK,245980,Ponca City Beauty College,3,41,6612,4705,4750,3901,5775,5378,4816,4285,5357,5179,,,,,,,,,,,68
OK,206905,Pontotoc Technology Center,1,118,6679,7146,5716,4770,3671,3461,3113,4885,4196,4076,,,,,,,,,,,51
OK,493691,Premier Academy of Cosmetology,3,7,2500,,,,,,,,,,,,,,,,,,,,56
OK,436067,Pryor Beauty College,3,,,,4850,4450,4803,4734,3947,5000,5000,6483,,,,,,,,,,,
OK,207157,Randall University,2,288,10809,9949,9089,8689,8072,6365,7779,7581,7043,5189,15108,13640,13040,12340,11980,11600,10926,10640,10600,9900,95
OK,250993,Red River Technology Center,1,252,4481,3607,4046,3585,3395,2917,3545,3346,3273,3146,,,,,,,,,,,18
OK,207069,Redlands Community College,1,1101,4338,3423,3135,3251,3609,3298,3710,3622,3855,3190,5300,4962,4154,3882,3701,3495,3330,3180,3030,2903,77
OK,483717,River Valley Cosmetology Institute,3,40,4931,5158,4272,4607,4404,3998,,,,,,,,,,,,,,,35
OK,207661,Rogers State University,1,2675,6106,6042,5704,4736,4391,5110,4945,5034,4852,4661,7200,6870,6540,6009,5725,5349,5047,4777,4513,4277,69
OK,207670,Rose State College,1,4190,2577,3653,3483,3385,3110,2953,3017,3163,2938,3255,4319,4124,3808,3375,3225,3104,2955,2835,2660,2490,76
OK,207740,Seminole State College,1,1152,5353,6084,4481,4521,6206,2397,5719,3493,4457,3947,5040,4440,4140,3808,3630,3425,3330,3231,3000,2848,75
OK,439932,Shawnee Beauty College,3,53,5797,5029,4800,5011,4764,4750,4631,5105,5000,5882,,,,,,,,,,,70
OK,207847,Southeastern Oklahoma State University,1,2616,8248,7911,7728,7500,7162,6756,6830,6467,6885,6215,6750,6750,6450,5975,5688,5315,5060,4904,4652,4416,84
OK,206862,Southern Nazarene University,2,1413,15232,15059,21874,9920,13335,10772,14348,11286,8508,8864,25234,25178,24468,23320,22690,22044,21174,19794,18354,17664,55
OK,365198,Southern Oklahoma Technology Center,1,435,3864,3456,2870,2936,3082,3482,4166,4487,4281,3301,,,,,,,,,,,15
OK,207786,Southern School of Beauty Inc,3,21,6195,6095,5920,7095,5775,5730,5474,6500,5550,5550,,,,,,,,,,,100
OK,368364,Southwest Technology Center,1,172,4051,4338,3250,2700,2611,3262,2864,3081,2376,3936,,,,,,,,,,,26
OK,207856,Southwestern Christian University,2,435,9382,9105,8498,7696,16720,6553,3790,12690,6178,11949,15080,13880,13080,12830,12470,14220,14025,12350,10700,10700,91
OK,207865,Southwestern Oklahoma State University,1,3787,7477,7218,7190,6983,6846,6577,6469,6072,6136,5798,7335,7005,6690,6090,5820,5460,5175,4800,4335,4110,73
OK,207254,Spartan College of Aeronautics and Technology,3,1203,6825,16593,11966,4125,3450,3884,8030,4865,4008,3833,17702,17975,16395,16395,16395,15915,15450,15000,15000,14570,53
OK,488828,Totally Cosmo School of Modern Cosmetology,3,38,4289,4361,4359,,,,,,,,,,,,,,,,,,74
OK,207935,Tulsa Community College,1,9848,4042,3811,3732,3515,3598,5426,5567,4100,3655,2696,3349,3221,3071,2900,2820,2606,2546,2450,2313,2204,65
OK,488934,Tulsa Technology Center,1,3176,3425,3358,2420,3348,,,,,,,,,,,,,,,,,24
OK,207962,Tulsa Welding School-Tulsa,3,921,5272,5058,4436,4103,4534,4513,3986,3763,3857,4267,,,,,,,,,,,87
OK,206941,University of Central Oklahoma,1,11248,8392,6582,5728,5995,6022,5807,5440,5199,4976,4636,7489,7100,6699,6096,5806,5437,5092,4718,4456,4223,66
OK,207342,University of Oklahoma-Health Sciences Center,1,879,4961,5709,4040,4244,4164,4876,3564,3171,3104,2203,,,,,,,,,,,40
OK,207500,University of Oklahoma-Norman Campus,1,20292,9098,9154,8679,8422,8079,7415,7164,6858,7160,6726,11538,11538,10881,10090,9495,8916,8706,8325,7864,7483,71
OK,207722,University of Science and Arts of Oklahoma,1,691,10973,10086,9925,8513,8239,7659,7374,9776,7340,7143,7200,7200,7200,6270,6270,4866,4320,3744,3744,3552,88
OK,207971,University of Tulsa,2,3297,32003,30065,24802,21994,21929,21976,20141,19642,18865,17534,41509,41509,41509,39521,35855,34835,33095,31551,28735,27237,93
OK,208017,Virgil's Beauty College,3,28,,5500,4923,4596,4467,4798,3938,4700,3542,4372,,,,,,,,,,,
OK,418357,Wes Watkins Technology Center,1,53,4212,5002,4316,3913,3935,3969,3586,3928,4072,4280,,,,,,,,,,,91
OK,208035,Western Oklahoma State College,1,848,4723,4542,4293,3684,3912,3981,1503,1660,1899,2235,4662,3878,3561,3196,3096,3000,3097,2964,2750,2750,82
OK,418302,Western Technology Center,1,269,4849,2032,3299,2958,4274,3462,3858,3273,3871,3686,,,,,,,,,,,21
OK,413820,Yukon Beauty College Inc,3,28,4180,8015,3948,3775,7102,3693,3999,3415,3843,7528,,,,,,,,,,,50
TX,,ABC Beauty Academy,3,33,,,,,,,,,,,,,,,,,,,,,68
TX,,Abilene Christian University,2,3538,11237,10784,11822,11640,10456,9000,9782,9519,12056,10777,34850,33330,32070,30830,29450,28350,26770,25270,22760,20290,100
TX,,Academy of Hair Design-Beaumont,3,57,5222,6484,6482,9017,10575,10575,,,,,,,,,,,,,,,100
TX,,Academy of Hair Design-Jasper,3,42,5738,5732,5719,7513,7232,6250,,,,,,,,,,,,,,,100
TX,,Academy of Hair Design-Lufkin,3,84,5688,5467,5470,4763,5472,5546,,,,,,,,,,,,,,,80
TX,,Advanced Barber College and Hair Design,3,165,,,,,,,,,,,,,,,,,,,,,83
TX,,Advanced Beauty College,3,44,,,,,,,,,,,,,,,,,,,,,100
TX,,Alamo City Barber College,3,157,7630,7968,9216,9764,7472,3341,,,,,,,,,,,,,,,94
TX,,Alamo Community College District Central Office,1,,,,,,,,,,,,,,,,,,,,,,
TX,,Allgood Beauty Institute,3,8,4060,5025,,,,,,,,,,,,,,,,,,,100
TX,,Altierus Career College-Bissonnet,2,383,5540,6724,6253,6818,7644,11423,11571,11829,11141,8943,,,,,,,,,,,87
TX,,Alvin Community College,1,5573,3290,3298,3308,3031,1301,3132,2798,1969,2788,3163,1680,1622,1562,1514,1510,1510,1432,1432,1220,1114,55
TX,,Amarillo College,1,9854,5657,5364,5660,5295,4942,4787,5157,5103,4907,4616,2136,2136,2010,2010,1914,1914,1842,1674,1506,1410,72
TX,,Amberton University,2,189,,,,,,,,,,,,,,,,,,,,,
TX,,American College of Acupuncture and Oriental Med,3,0,,,,,,,,,,,,,,,,,,,,,
TX,,American InterContinental University-Houston,3,257,7082,6402,5480,7089,8094,8139,8808,8477,7146,10458,14640,14640,14553,14634,14638,14675,14674,14070,15015,14760,67
TX,,Angelina College,1,4919,,,,,,,,,,501,2640,2520,2370,2310,2130,2040,1860,1800,1560,1410,91
TX,,Angelo State University,1,8672,5901,5574,5461,5697,5797,5723,5920,5629,5260,5690,7436,7201,7047,6892,6856,6559,6327,6211,5672,5202,94
TX,,Ann Webb Skin Institute,3,134,5881,6878,,,,,,,,,,,,,,,,,,,47
TX,,AOMA Graduate School of Integrative Medicine,3,0,,,,,,,,,,,,,,,,,,,,,
TX,,Arizona College-Dallas,3,,,,,,,,,,,,,,,,,,,,,,
TX,,Arlington Baptist University,2,161,5787,8492,6703,6424,5907,6948,7592,6980,5128,4383,13690,13600,11500,11000,9000,8840,7640,7540,7340,7340,97
TX,,Arlington Career Institute,3,330,5734,5779,5950,6345,6979,7929,8533,8417,8457,8441,,,,,,,,,,,63
TX,,Astrodome Career Centers,3,133,3111,2894,3167,3167,3034,3167,3167,2967,3066,3167,,,,,,,,,,,64
TX,,Auguste Escoffier School of Culinary Arts-Austin,3,506,10567,12391,12915,9773,10833,11470,10931,9544,8858,6605,,,,,,,,,,,70
TX,,Austin College,2,1277,7994,7934,8111,8167,8117,7748,8589,8265,8044,7290,39960,38800,37315,36230,33840,33830,32850,31270,29235,27850,100
TX,,Austin Community College District,1,40799,6049,5411,3951,3881,3930,4195,4158,4873,3984,4899,2550,2550,2550,2550,2550,2490,2340,2115,1740,1623,57
TX,,Austin Graduate School of Theology,2,26,,,,,,,,,,,,,,,,,,,,,
TX,,Austin Presbyterian Theological Seminary,2,0,,,,,,,,,,,,,,,,,,,,,
TX,,Aveda Arts & Sciences Institute-San Antonio,3,237,8937,5852,5964,6583,7020,7801,8166,10256,10500,9363,,,,,,,,,,,96
TX,,Avenue Five Institute,3,297,7086,7002,7461,7842,8937,9164,9946,9901,9163,8843,,,,,,,,,,,73
TX,,Avenue Five Institute-South Austin Campus,3,,6722,,,,,,,,,,,,,,,,,,,,94
TX,,Aviation Institute of Maintenance-Dallas,3,481,7526,7248,11996,11421,10913,8134,10114,16575,9752,3736,16757,16757,16757,17997,17997,18007,18007,13447,13447,,75
TX,,Aviation Institute of Maintenance-Houston,3,313,6840,9501,11965,11194,10215,8582,10165,15836,3417,8682,16757,16757,16757,17997,17997,18007,18007,13447,13447,,100
TX,,Bakke Graduate University,2,0,,,,,,,,,,,,,,,,,,,,,
TX,,Baldwin Beauty School-North Austin,3,104,4751,5344,4970,4903,5430,,,,,,,,,,,,,,,,66
TX,,Baldwin Beauty School-South Austin,3,76,4748,4739,5395,6029,5067,,,,,,,,,,,,,,,,53
TX,,Baptist Health System School of Health Professions,3,644,,,,,,,,,,3267,,,,1488,,,,,6692,7476,
TX,,Baptist Missionary Association Theological Seminary,2,60,,,,,,,,3286,,,6900,6000,5800,5700,5100,4500,4500,3800,3800,3310,
TX,,Baptist University of the Americas,2,154,,5444,3464,2656,3810,2722,,6725,3940,2796,6240,6240,6240,7200,7200,7200,6600,6600,6000,4600,89
TX,,Barber Institute of Texas,3,6,5753,5500,5500,8411,8700,8833,,,,,,,,,,,,,,,100
TX,,Baylor College of Medicine,2,0,,,,,,,,,,,,,,,,,,,,,
TX,,Baylor University,2,14188,13069,11254,11363,12264,11926,11753,12579,9633,7794,9627,45542,43790,42006,40198,38120,35972,33716,31658,29884,28070,95
TX,,Bella Cosmetology College,3,89,6493,5434,6668,4155,,,,,,,,,,,,,,,,,80
TX,,BK Cosmo College of Cosmetology,3,17,9500,5613,7237,6472,,,,,,,,,,,,,,,,,67
TX,,Blinn College,1,19931,5720,5450,5448,3097,3311,6224,2202,2144,4342,3742,2832,2688,2424,2256,2136,2464,1824,1728,1560,1512,64
TX,,Brazosport College,1,4311,2317,1880,2932,2928,1732,3348,2971,3309,3156,2678,2715,2715,2385,2385,2295,2295,2295,1977,1692,1542,57
TX,,Brite Divinity School,2,0,,,,,,,,,,,,,,,,,,,,,
TX,,Brookhaven College,1,13726,3998,5562,4391,5847,5013,4904,5730,5430,5606,5087,1770,1770,1770,1770,1665,1560,1350,1350,1230,1230,52
TX,,Buckner Barber School,3,20,,,7299,,,,9500,8613,8258,,,,,,,,,,,,100
TX,,Careers Institute of America,3,,3761,,,,,,,,,,,,,,,,,,,,95
TX,,Carrington College-Mesquite,3,40,8406,9283,13110,7108,7697,8159,8327,2663,,,,,,,,,,,,,100
TX,,CCI Training Center-Arlington,3,217,7314,7303,7058,7222,6389,7097,7211,6726,6523,4620,,,,,,,,,,,100
TX,,Cedar Valley College,1,8030,5554,5592,5144,5447,5228,4408,5635,4828,3986,5139,1770,1770,1770,1770,1665,1560,1350,1350,1230,1230,84
TX,,Center for Advanced Legal Studies,3,211,4392,4308,3426,5654,7071,6470,6642,7359,7051,6816,,,,,,,,,,,79
TX,,Central Texas Beauty College-Round Rock,3,156,,,,,,,,,,,,,,,,,,,,,84
TX,,Central Texas Beauty College-Temple,3,132,,,,,,,,,,,,,,,,,,,,,92
TX,,Central Texas College,1,16073,4339,5204,2929,2514,2850,3956,3797,3627,4368,4170,2700,2700,2280,2280,2130,1890,1890,1770,1920,1680,72
TX,,CET-El Paso,2,51,6652,7304,7184,7082,6700,6187,6306,6114,5766,3585,,,,,,,,,,,70
TX,,Chamberlain University-Texas,3,823,7750,7500,9667,5500,9500,,,7986,,,19375,19375,19230,18000,17280,17280,16960,16100,,,100
TX,,Champion Beauty College,3,56,9533,9520,9034,9470,8867,8733,9521,9500,5750,5583,,,,,,,,,,,81
TX,,Charles and Sues School of Hair Design,3,21,8028,8147,8235,7417,8128,5846,7431,7870,7944,9500,,,,,,,,,,,100
TX,,Chicago School of Professional Psychology at Dallas,2,0,,,,,,,,,,,,,,,,,,,,,
TX,,Christ Mission College,2,,,,,,,,,,,,,,,,,,,,,,0
TX,,Cisco College,1,3374,4474,4428,4506,4559,4155,4714,4408,4557,4577,4894,3810,3810,3810,3510,3360,3060,2280,2088,2088,2028,88
TX,,Clarendon College,1,1844,4527,4527,4059,5414,4907,4272,2519,6353,4117,4990,2712,2424,2424,2424,2184,2184,2184,2040,1992,1896,88
TX,,Coastal Bend College,1,4614,4729,3058,2929,2965,2746,6450,4969,4630,4812,5433,2646,2646,2646,3576,2646,2752,2696,2600,2400,2310,72
TX,,College of Biblical Studies,2,157,,5607,7292,5855,6240,6646,5780,6039,9745,7639,12400,12400,12400,12400,12400,12350,12350,12220,12220,12220,
TX,,College of Biblical Studies-Houston,2,376,3630,,,2777,2483,5278,5392,4964,1245,869,6955,6946,6946,6946,6946,9801,9468,9396,8784,4560,67
TX,,College of the Mainland,1,4673,3630,3965,3740,3329,4658,4858,4285,3544,3303,1900,1773,1773,1773,1773,1773,1494,1494,1374,1007,959,58
TX,,Collin County Community College District,1,33668,3313,3042,4561,4611,4503,4921,5182,4896,4978,5064,1504,1384,1264,1174,1174,1144,1024,1024,1024,1069,37
TX,,Commonwealth Institute of Funeral Service,2,205,1297,6706,9124,9124,7373,10875,9026,7734,8197,8223,13363,12495,12495,12495,10904,10904,10904,10904,10320,10320,88
TX,,Concorde Career College-Dallas,3,701,8154,8214,7186,8222,8225,8221,8212,8210,9024,9580,,,,,,,,,,,91
TX,,Concorde Career College-Grand Prairie,3,835,6054,6524,6066,9138,9142,9140,7803,7797,10549,11091,,,,,,,,,,,91
TX,,Concorde Career College-San Antonio,3,676,7571,7655,6717,9252,9243,9242,9247,9231,7738,6948,,,,,,,,,,,85
TX,,Concordia University Texas,2,1746,6750,6564,6335,6220,7581,7002,6615,5971,6170,8537,31810,30600,29260,28160,26960,25880,23600,22920,21700,21200,100
TX,,Cortiva Institute-Arlington,3,162,5908,6528,6492,5803,5406,,,,,,,,,,,,,,,,100
TX,,Cortiva Institute-Dallas,3,210,,6977,6666,7084,7147,7120,7173,6337,,,,,,,,,,,,,
TX,,Cortiva Institute-Houston,3,199,,6356,6320,6051,6555,6244,6336,,,,,,,,,,,,,,
TX,,Cosmetology Academy of Texarkana,3,67,8227,7845,7668,8118,7913,7691,,,,,,,,,,,,,,,98
TX,,Cosmetology Career Center LLC,3,352,8090,6427,7517,8648,9491,10389,9574,7965,7648,8305,,,,,,,,,,,78
TX,,Covenant School of Nursing and Allied Health,2,350,,,,,,,,,,,,,,4675,4675,,,,,,
TX,,Criswell College,2,179,5061,5019,4443,4250,5273,6300,3786,,,,10710,9858,8950,8230,7870,7126,6934,,,,100
TX,,Culinary Institute Inc,3,339,8788,7453,4969,10300,8597,15339,11520,11364,9526,9500,15938,15938,15938,15938,15828,16052,16052,16975,,,74
TX,,CyberTex Institute of Technology,3,217,7911,8658,8146,9281,7831,8974,13599,,,,,,,,,,,,,,93
TX,,Dallas Baptist University,2,3014,11323,11713,12287,11630,10112,11584,10320,10975,8733,9044,28870,27480,26180,24890,23650,22350,21110,19900,18690,17490,97
TX,,Dallas Barber & Stylist College,3,134,,,,,,,,,,3065,,,,,,,,,,,100
TX,,Dallas Christian College,2,212,3660,3526,5633,3826,8119,7010,10913,11028,12218,8336,18734,18734,17454,16536,15492,14688,13820,13148,12188,11548,100
TX,,Dallas County Community College District,1,,,,,,,,,,,,,,,,,,,,,,
TX,,Dallas Institute of Funeral Service,2,187,5029,4282,10345,6280,3979,7113,5420,5392,4410,5099,11870,11870,11170,11150,10500,10500,9000,12000,12000,12000,77
TX,,Dallas Nursing Institute,2,225,7390,10032,8832,7828,6252,9464,5962,12517,9953,8114,,,,,,,,,,,100
TX,,Dallas Theological Seminary,2,0,,,,,,,,,,,,,,,,,,,,,
TX,,Del Mar College,1,11867,2913,3220,3253,3098,2937,3287,3070,3157,2876,2924,2729,2676,2546,2546,2546,2520,2386,2308,1978,1746,73
TX,,Deluxe Barber College,3,,4750,,,,,,,,,,,,,,,,,,,,10
TX,,DeVry University-Texas,3,482,8010,8422,7385,8226,9398,8163,8378,,,,17724,17540,19948,19568,16888,16010,,,,,100
TX,,Diamonds Cosmetology College,3,57,6482,6968,5635,6227,4469,5829,4472,7897,4558,,,,,,,,,,,,93
