UnitID,Institution Name,State abbreviation (HD2019),Undergraduate enrollment (DRVEF2018_RV),
451556,Southwest University at El Paso,TX,1481,
228468,Southwestern Adventist University,TX,860,
228325,Southwestern Assemblies of God University,TX,1692,
494603,Southwestern Baptist Theological Seminary,TX,,
228486,Southwestern Christian College,TX,87,
228343,Southwestern University,TX,1434,
227854,St Philip's College,TX,11590,
228149,St. Mary's University,TX,2373,
382902,Star College of Cosmetology 2,TX,63,
228431,Stephen F Austin State University,TX,11398,
491066,Strand Institute of Beauty & Esthetics,TX,11,
458973,Strayer University-Texas,TX,2084,
228501,Sul Ross State University,TX,2137,
228529,Tarleton State University,TX,11315,
228547,Tarrant County College District,TX,51100,
228608,Temple College,TX,4911,
228699,Texarkana College,TX,4239,
226152,Texas A & M International University,TX,6992,
228723,Texas A & M University-College Station,TX,53743,
224554,Texas A & M University-Commerce,TX,8270,
224147,Texas A & M University-Corpus Christi,TX,9776,
228705,Texas A & M University-Kingsville,TX,6976,
228732,Texas A & M University-System Office,TX,,
483036,Texas A&M University-Central Texas,TX,1913,
459949,Texas A&M University-San Antonio,TX,5703,
224545,Texas A&M University-Texarkana,TX,1699,
440989,Texas Barber College,TX,677,
458061,Texas Beauty College,TX,70,
228866,Texas Chiropractic College Foundation Inc,TX,0,
228875,Texas Christian University,TX,9445,
228884,Texas College,TX,1042,
377315,Texas College of Cosmetology-Abilene,TX,72,
487232,Texas College of Cosmetology-Lubbock,TX,71,
419633,Texas College of Cosmetology-San Angelo,TX,67,
430704,Texas Health and Science University,TX,4,
448196,Texas Health School,TX,139,
494694,Texas Healthtech Institute,TX,,
228981,Texas Lutheran University,TX,1411,
229063,Texas Southern University,TX,7604,
227377,Texas Southmost College,TX,7130,
487320,Texas State Technical College,TX,12445,
228459,Texas State University,TX,34187,
229115,Texas Tech University,TX,31957,
229337,Texas Tech University Health Sciences Center,TX,1520,
492689,Texas Tech University Health Sciences Center-El Paso,TX,264,
439154,Texas Tech University System Administration,TX,,
229160,Texas Wesleyan University,TX,1456,
229179,Texas Woman's University,TX,10388,
451820,The Art Institute of Austin,TX,546,
222938,The Art Institute of Houston,TX,947,
458982,The Art Institute of San Antonio,TX,671,
437635,The College of Health Care Professions-Austin,TX,435,
