UnitID,Institution Name,Published in-district tuition and fees 2018-19 (IC2018_AY),Published in-district tuition and fees 2017-18 (IC2017_AY),Published in-district tuition and fees 2016-17 (IC2016_AY),Published in-district tuition and fees 2015-16 (IC2015_AY),Published in-district tuition and fees 2014-15 (IC2014_AY),Published in-district tuition and fees 2013-14 (IC2013_AY),Published in-district tuition and fees 2012-13 (IC2012_AY),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV),
480125,Ogle School Hair Skin Nails-San Antonio,,,,,,,,,,,
484604,Ogle School Hair Skin Nails-Stafford,,,,,,,,,,,
227331,Our Lady of the Lake University,28740,28192,27160,26148,24596,23938,23420,22756,21900,20824,
246354,Palo Alto College,2820,2760,2188,2088,2088,2038,2038,1952,1562,1562,
227386,Panola College,1920,1872,1824,1752,1680,1680,1608,1608,1464,1344,
227401,Paris Junior College,2400,2400,2250,1548,1548,1428,1356,1284,1164,1140,
243823,Parker University,15564,15564,15276,15052,14650,15230,,,,,
475486,Paul Mitchell the School-Arlington,,,,,,,,,,,
451565,Paul Mitchell the School-Austin,,,,,,,,,,,
249238,Paul Mitchell the School-Houston,,,,,,,,,,,
451714,Paul Mitchell the School-San Antonio,,,,,,,,,,,
488989,Paul Mitchell the School-Webster,,,,,,,,,,,
227429,Paul Quinn College,8920,8495,8318,8275,13375,13525,12400,12350,12350,10650,
455345,PCCenter,,,,,,,,,,,
369783,PCI Health Training Center,,,,,,,,,,,
459514,Peloton College,13225,,,,,,,,,,
490735,Peloton College,13225,12900,,,,,,,,,
486813,Pima Medical Institute-El Paso,,,,,,,,,,,
460136,Pima Medical Institute-Houston,,,,,,,,,,,
494588,Pima Medical Institution-San Antonio,,,,,,,,,,,
418913,Pipo Academy of Hair Design,,,,,,,,,,,
491394,Platt College-Edge Tech Academy,,,,,,,,,,,
456931,Platt College-STVT-Corpus Christi,,,,,,,,,,,
228219,Platt College-STVT-McAllen,,,,,,,,,,,
460172,Platt College-STVT-San Antonio,,,,,,,,,,,
227526,Prairie View A & M University,10533,9959,10059,9745,9461,6764,6404,6132,6856,6763,
484154,Preparing People Barber Styling College,,,,,,,,,,,
458016,Professional Career Training Institute,,,,,,,,,,,
439507,Quest College,,,,,,,,,,,
227687,Ranger College,3065,3065,2590,2370,2370,2790,2250,2250,2140,2110,
223463,Remington College-Dallas Campus,15898,15069,14953,14566,15995,15995,15995,14995,14745,13950,
377111,Remington College-Fort Worth Campus,15802,15069,14953,14566,16380,16380,17189,16200,19950,19950,
451857,Remington College-Houston Southeast Campus,15529,17327,14566,14566,16755,15995,15995,14995,14745,13950,
445203,Remington College-North Houston Campus,15610,15069,14953,14566,15995,15995,15995,14995,14745,13950,
227757,Rice University,47350,45608,43918,42253,40566,38941,37292,35551,33771,32057,
227766,Richland College,1770,1770,1770,1770,1665,1560,1350,1350,1230,1230,
476726,Rio Grande Valley College,,,,,,,,,,,
227845,Saint Edward's University,45428,43300,41178,38720,36550,33720,31110,28700,26484,24440,
459532,Salon & Spa Institute,,,,,,,,,,,
485874,Salon Boutique Academy,,,,,,,,,,,
491835,Salon Professional Academy of San Antonio,,,,,,,,,,,
227881,Sam Houston State University,8296,8062,7762,7618,7294,7022,6608,5972,5704,6515,
227924,San Antonio College,2820,2760,2188,2088,2088,2038,2038,1952,1562,1562,
227979,San Jacinto Community College,1548,1500,1500,1408,1408,1312,1312,1182,1470,1250,
377218,School of Automotive Machinists & Technology,,,,,,,,,,,
228042,Schreiner University,27960,26900,25750,25086,24360,22484,21540,20355,19548,18731,
369695,Sebring Career Schools-Houston,,,,,,,,,,,
246406,Sebring Career Schools-Huntsville,,,,,,,,,,,
368540,Seguin Beauty School-New Braunfels,,,,,,,,,,,
228088,Seguin Beauty School-Seguin,,,,,,,,,,,
228158,South Plains College,2240,2240,2240,2240,2584,2497,2114,1924,1468,1444,
228185,South Texas Barber College Inc,,,,,,,,,,,
409315,South Texas College,3780,3720,3606,3486,3306,3246,5160,5160,2364,2148,
228194,South Texas College of Law Houston,,,,,,,,,,,
455974,South Texas Training Center,10695,10695,10695,10000,10000,8400,8400,5080,5080,5080,
456922,South Texas Vocational Technical Institute-Brownsville,,,,,,,,,,,
228200,South Texas Vocational Technical Institute-Weslaco,,,,,,,,,,,
480073,South University-Austin,17014,17014,17358,16761,16360,16360,16360,,,,
449807,Southeast Texas Career Institute,,,,,,,,,,,
226903,Southern Careers Institute-Austin,,,,,,,,,,,
459967,Southern Careers Institute-Brownsville,,,,,,,,,,,
405076,Southern Careers Institute-Corpus Christi,,,,,,,,,,,
459985,Southern Careers Institute-Harlingen,,,,,,,,,,,
408385,Southern Careers Institute-Pharr,,,,,,,,,,,
430245,Southern Careers Institute-San Antonio,,,,,,,,,,,
482015,Southern Careers Institute-San Antonio,,,,,,,,,,,
493992,Southern Careers Institute-Waco,,,,,,,,,,,
228246,Southern Methodist University,54492,52498,50358,48190,45940,43800,41750,39430,37230,35160,
481322,Southern Texas Careers Academy,,,,,,,,,,,
382911,Southwest Collegiate Institute for the Deaf,2560,2560,2560,2542,2282,2222,2222,2012,1712,1712,
228282,Southwest School of Business and Technical Careers-San Antonio,,,,,,,,,,,
228316,Southwest Texas Junior College,2382,2286,2116,2116,2020,1996,1960,1960,1670,1670,
451556,Southwest University at El Paso,15500,15000,15000,15000,14300,14300,13000,13000,12500,11000,
228468,Southwestern Adventist University,21564,20732,20276,19916,19460,18640,17800,17080,16456,16216,
228325,Southwestern Assemblies of God University,19582,19994,19560,19180,18580,17830,16630,15730,14830,13780,
494603,Southwestern Baptist Theological Seminary,,,,,,,,,,,
228486,Southwestern Christian College,8131,8136,8136,7764,7764,7620,7504,6910,6185,6185,
