UnitID,Institution Name,State abbreviation (HD2019),Control of institution (HD2019),
226903,Southern Careers Institute-Austin,TX,3,
459967,Southern Careers Institute-Brownsville,TX,3,
405076,Southern Careers Institute-Corpus Christi,TX,3,
459985,Southern Careers Institute-Harlingen,TX,3,
408385,Southern Careers Institute-Pharr,TX,3,
430245,Southern Careers Institute-San Antonio,TX,3,
482015,Southern Careers Institute-San Antonio,TX,3,
493992,Southern Careers Institute-Waco,TX,3,
228246,Southern Methodist University,TX,2,
481322,Southern Texas Careers Academy,TX,3,
382911,Southwest Collegiate Institute for the Deaf,TX,1,
228282,Southwest School of Business and Technical Careers-San Antonio,TX,3,
228316,Southwest Texas Junior College,TX,1,
451556,Southwest University at El Paso,TX,3,
228468,Southwestern Adventist University,TX,2,
228325,Southwestern Assemblies of God University,TX,2,
494603,Southwestern Baptist Theological Seminary,TX,2,
228486,Southwestern Christian College,TX,2,
228343,Southwestern University,TX,2,
227854,St Philip's College,TX,1,
228149,St. Mary's University,TX,2,
382902,Star College of Cosmetology 2,TX,3,
228431,Stephen F Austin State University,TX,1,
491066,Strand Institute of Beauty & Esthetics,TX,3,
458973,Strayer University-Texas,TX,3,
228501,Sul Ross State University,TX,1,
228529,Tarleton State University,TX,1,
228547,Tarrant County College District,TX,1,
228608,Temple College,TX,1,
228699,Texarkana College,TX,1,
226152,Texas A & M International University,TX,1,
228723,Texas A & M University-College Station,TX,1,
224554,Texas A & M University-Commerce,TX,1,
224147,Texas A & M University-Corpus Christi,TX,1,
228705,Texas A & M University-Kingsville,TX,1,
228732,Texas A & M University-System Office,TX,1,
483036,Texas A&M University-Central Texas,TX,1,
459949,Texas A&M University-San Antonio,TX,1,
224545,Texas A&M University-Texarkana,TX,1,
440989,Texas Barber College,TX,3,
458061,Texas Beauty College,TX,3,
228866,Texas Chiropractic College Foundation Inc,TX,2,
228875,Texas Christian University,TX,2,
228884,Texas College,TX,2,
377315,Texas College of Cosmetology-Abilene,TX,3,
487232,Texas College of Cosmetology-Lubbock,TX,3,
419633,Texas College of Cosmetology-San Angelo,TX,3,
430704,Texas Health and Science University,TX,3,
448196,Texas Health School,TX,3,
494694,Texas Healthtech Institute,TX,3,
228981,Texas Lutheran University,TX,2,
229063,Texas Southern University,TX,1,
227377,Texas Southmost College,TX,1,
487320,Texas State Technical College,TX,1,
228459,Texas State University,TX,1,
229115,Texas Tech University,TX,1,
229337,Texas Tech University Health Sciences Center,TX,1,
492689,Texas Tech University Health Sciences Center-El Paso,TX,1,
439154,Texas Tech University System Administration,TX,1,
229160,Texas Wesleyan University,TX,2,
229179,Texas Woman's University,TX,1,
451820,The Art Institute of Austin,TX,3,
222938,The Art Institute of Houston,TX,3,
458982,The Art Institute of San Antonio,TX,3,
437635,The College of Health Care Professions-Austin,TX,3,
480824,The College of Health Care Professions-Dallas,TX,3,
480833,The College of Health Care Professions-Fort Worth,TX,3,
489283,The College of Health Care Professions-McAllen Campus,TX,3,
392257,The College of Health Care Professions-Northwest,TX,3,
449250,The College of Health Care Professions-San Antonio,TX,3,
492722,The College of Health Care Professions-South San Antonio,TX,3,
447591,The College of Health Care Professions-Southwest Houston,TX,3,
491251,The Culinary School of Fort Worth,TX,3,
482972,The Healthcare Institute,TX,3,
439701,The King's University,TX,2,
485953,The Recording Conservatory of Austin,TX,3,
491996,The Salon Professional Academy-Georgetown,TX,3,
458098,The Salon Professional Academy-Lewisville,TX,3,
228769,The University of Texas at Arlington,TX,1,
228778,The University of Texas at Austin,TX,1,
228787,The University of Texas at Dallas,TX,1,
228796,The University of Texas at El Paso,TX,1,
229027,The University of Texas at San Antonio,TX,1,
228802,The University of Texas at Tyler,TX,1,
229300,The University of Texas Health Science Center at Houston,TX,1,
228644,The University of Texas Health Science Center at San Antonio,TX,1,
416801,The University of Texas MD Anderson Cancer Center,TX,1,
228653,The University of Texas Medical Branch at Galveston,TX,1,
229018,The University of Texas of the Permian Basin,TX,1,
227368,The University of Texas Rio Grande Valley,TX,1,
229090,The University of Texas System Office,TX,1,
485360,The Vocational Nursing Institute Inc,TX,2,
418968,Tint School of Makeup and Cosmetology-Dallas,TX,3,
227058,Tint School of Makeup and Cosmetology-Irving,TX,3,
436775,Toni & Guy Hairdressing Academy-Plano,TX,3,
494719,Tonsorial Arts Barber College,TX,3,
483735,Total Transformation Institute of Cosmetology,TX,3,
443298,Trend Barber College,TX,3,
450711,Trend Barber College,TX,3,
402800,Tri-State Cosmetology Institute,TX,3,
229267,Trinity University,TX,2,
225308,Trinity Valley Community College,TX,1,
486798,Tulsa Welding School-Houston,TX,3,
229355,Tyler Junior College,TX,1,
475662,UCAS Univeristy of Cosmetology Arts & Sciences-La Joya,TX,3,
229425,UCAS University of Cosemtology Arts & Sciences-McAllen,TX,3,
377193,UCAS University of Cosmetology Arts & Sciences,TX,3,
407683,UCAS University of Cosmetology Arts & Sciences-Harlingen,TX,3,
246415,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,TX,3,
229416,Universal Technical Institute of Texas Inc.,TX,3,
460543,Universal Technical Institute-Dallas Fort Worth,TX,3,
224323,University of Dallas,TX,2,
225511,University of Houston,TX,1,
225414,University of Houston-Clear Lake,TX,1,
225432,University of Houston-Downtown,TX,1,
229407,University of Houston-System Administration,TX,1,
225502,University of Houston-Victoria,TX,1,
226471,University of Mary Hardin-Baylor,TX,2,
227216,University of North Texas,TX,1,
484905,University of North Texas at Dallas,TX,1,
228909,University of North Texas Health Science Center,TX,1,
443711,University of North Texas System,TX,1,
484756,University of Phoenix-Texas,TX,3,
227863,University of St Thomas,TX,2,
485537,University of Texas Health Science Center at Tyler,TX,1,
228635,University of Texas Southwestern Medical Center,TX,1,
225627,University of the Incarnate Word,TX,2,
443322,Valley Grande Institute for Academic Studies,TX,2,
229504,Vernon College,TX,1,
223472,Vet Tech Institute of Houston,TX,3,
229522,Victoria Beauty College Inc,TX,3,
229540,Victoria College,TX,1,
365204,Vista College,TX,3,
377342,Vista College-Online,TX,3,
476559,Vogue College of Cosmetology,TX,3,
229656,Vogue College of Cosmetology-McAllen,TX,3,
476540,Vogue College of Cosmetology-San Antonio Fredericksburg,TX,3,
491871,Vogue International Academy,TX,3,
226879,Wade College,TX,3,
476896,Wade Gordon Hairdressing Academy,TX,3,
492591,Wade Gordon Hairdressing Academy,TX,3,
487065,Wade Gordon Hairdressing Academy-Lubbock,TX,3,
229780,Wayland Baptist University,TX,2,
229799,Weatherford College,TX,1,
477039,West Coast University-Dallas,TX,3,
229814,West Texas A & M University,TX,1,
224660,Western Technical College,TX,3,
224679,Western Technical College,TX,3,
229832,Western Texas College,TX,1,
229841,Wharton County Junior College,TX,1,
229887,Wiley College,TX,2,
226860,William Edge Institute,TX,3,
484136,Yahweh Beauty Academy,TX,3,
